Country,Year,Co2,GDP_intensity_Co2,Energy,Industry,Urban
IDN,2013,474.9793,0.607630259,696.1928077,42.63567744,51.955
IDN,2014,505.1547,0.615420882,704.653772,41.92834213,52.635
IDN,2015,512.4074,0.595231319,698.6607376,40.0478624,53.313
IDN,2016,507.0768,0.560812991,718.5795349,39.30844398,53.989
IDN,2017,535.7172,0.563899965,755.3513042,39.3791548,54.659
IDN,2018,597.4767,0.597967879,826.03866,39.72973745,55.325
IDN,2019,637.3101,0.607349411,844.8700394,38.951768,55.985
IDN,2020,594.2634,0.578270635,848.4367662,38.23839372,56.641
IDN,2021,619.3274,0.581141124,896.8135349,39.84481919,57.29
IDN,2022,656.6692,0.585126689,953.6539285,41.42926418,57.934
PHL,2013,97.4623,0.359701914,443.2697193,30.77544663,45.903
PHL,2014,103.989,0.360881168,465.6258864,31.04744448,46.093
PHL,2015,113.1619,0.369272066,499.0707763,30.48195098,46.284
PHL,2016,121.2734,0.36933614,520.9808508,30.28591717,46.475
PHL,2017,135.6224,0.386263878,544.4751998,30.12655058,46.682
PHL,2018,141.3123,0.378468652,554.4982835,30.56374015,46.907
PHL,2019,147.8971,0.373265971,551.8665498,30.32750788,47.149
PHL,2020,135.8002,0.378789885,518.1567758,28.39991759,47.408
PHL,2021,145.5867,0.384135238,530.9879807,28.88980912,47.684
PHL,2022,150.6387,0.36945666,550.793804,29.22123994,47.977
VNM,2013,163.0681,0.77600763,674.6781651,35.57515044,32.429
VNM,2014,178.8301,0.799659666,745.6335318,35.29856849,33.115
VNM,2015,200.7053,0.838864425,679.445924,34.26654664,33.809
VNM,2016,224.4548,0.879302042,738.8795334,34.11522886,34.51
VNM,2017,230.4037,0.844029606,757.4799799,35.39036407,35.213
VNM,2018,283.8603,0.967622188,885.6468418,36.54243341,35.919
VNM,2019,338.946,1.076197933,987.2714724,36.8031369,36.628
VNM,2020,352.0639,1.086710244,991.2812325,36.74371329,37.34
VNM,2021,341.1051,1.026665631,962.1995249,37.39151925,38.052
VNM,2022,324.9007,0.900972721,1023.057136,38.48236124,38.766
